Country,Year,AvgOfAverageTemperature,TempChange
Ã…land,1743,4.384,-0.734333333
Ã…land,1744,6.6985,1.580166667
Ã…land,1745,-3.8965,-9.014833333
Ã…land,1750,6.293272727,1.174939394
Ã…land,1751,5.397375,0.279041667
Ã…land,1752,1.625,-3.493333333
Ã…land,1753,5.118333333,0
Ã…land,1754,5.118083333,-0.00025
Ã…land,1755,4.732833333,-0.3855
Ã…land,1756,5.1605,0.042166667
Ã…land,1757,5.413833333,0.2955
Ã…land,1758,4.074833333,-1.0435
Ã…land,1759,5.452083333,0.33375
Ã…land,1760,4.322,-0.796333333
Ã…land,1761,5.771583333,0.65325
Ã…land,1762,5.217,0.098666667
Ã…land,1763,4.5625,-0.555833333
Ã…land,1764,5.562583333,0.44425
Ã…land,1765,5.050583333,-0.06775
Ã…land,1766,5.894666667,0.776333333
Ã…land,1767,4.675416667,-0.442916667
Ã…land,1768,4.54425,-0.574083333
Ã…land,1769,4.858083333,-0.26025
Ã…land,1770,4.985166667,-0.133166667
Ã…land,1771,4.190166667,-0.928166667
Ã…land,1772,4.704916667,-0.413416667
Ã…land,1773,6.379333333,1.261
Ã…land,1774,4.530666667,-0.587666667
Ã…land,1775,6.80575,1.687416667
Ã…land,1776,5.652083333,0.53375
Ã…land,1777,4.797,-0.321333333
Ã…land,1778,5.07575,-0.042583333
Ã…land,1779,6.914,1.795666667
Ã…land,1780,4.93125,-0.187083333
Ã…land,1781,5.701666667,0.583333333
Ã…land,1782,4.28375,-0.834583333
Ã…land,1783,5.680166667,0.561833333
Ã…land,1784,3.709583333,-1.40875
Ã…land,1785,3.843833333,-1.2745
Ã…land,1786,3.933416667,-1.184916667
Ã…land,1787,5.096833333,-0.0215
Ã…land,1788,4.176333333,-0.942
Ã…land,1789,5.828916667,0.710583333
Ã…land,1790,5.531583333,0.41325
Ã…land,1791,6.2315,1.113166667
Ã…land,1792,5.331916667,0.213583333
Ã…land,1793,5.687083333,0.56875
Ã…land,1794,6.725083333,1.60675
Ã…land,1795,4.362333333,-0.756
Ã…land,1796,5.780083333,0.66175
Ã…land,1797,6.549916667,1.431583333
Ã…land,1798,6.329,1.210666667
Ã…land,1799,3.955083333,-1.16325
Ã…land,1800,4.680583333,-0.43775
Ã…land,1801,5.572166667,0.453833333
Ã…land,1802,5.053333333,-0.065
Ã…land,1803,4.346666667,-0.771666667
Ã…land,1804,4.521916667,-0.596416667
Ã…land,1805,3.927416667,-1.190916667
Ã…land,1806,4.868583333,-0.24975
Ã…land,1807,4.842083333,-0.27625
Ã…land,1808,4.737333333,-0.381
Ã…land,1809,3.932333333,-1.186
Ã…land,1810,4.09675,-1.021583333
Ã…land,1811,5.767166667,0.648833333
Ã…land,1812,3.64275,-1.475583333
Ã…land,1813,5.3695,0.251166667
Ã…land,1814,4.01675,-1.101583333
Ã…land,1815,5.129083333,0.01075
Ã…land,1816,4.298166667,-0.820166667
Ã…land,1817,4.92975,-0.188583333
Ã…land,1818,5.775333333,0.657
Ã…land,1819,5.9155,0.797166667
Ã…land,1820,4.4975,-0.620833333
Ã…land,1821,5.174416667,0.056083333
Ã…land,1822,7.112,1.993666667
Ã…land,1823,5.347833333,0.2295
Ã…land,1824,6.099166667,0.980833333
Ã…land,1825,5.773833333,0.6555
Ã…land,1826,6.694166667,1.575833333
Ã…land,1827,5.493166667,0.374833333
Ã…land,1828,4.94775,-0.170583333
Ã…land,1829,3.116083333,-2.00225
Ã…land,1830,4.759,-0.359333333
Ã…land,1831,5.051083333,-0.06725
Ã…land,1832,5.257666667,0.139333333
Ã…land,1833,5.467833333,0.3495
Ã…land,1834,5.969333333,0.851
Ã…land,1835,4.9935,-0.124833333
Ã…land,1836,4.67525,-0.443083333
Ã…land,1837,4.6205,-0.497833333
Ã…land,1838,3.427,-1.691333333
Ã…land,1839,4.697666667,-0.420666667
Ã…land,1840,4.42,-0.698333333
Ã…land,1841,5.171333333,0.053
Ã…land,1842,5.722333333,0.604
Ã…land,1843,5.4015,0.283166667
Ã…land,1844,3.679083333,-1.43925
Ã…land,1845,4.544583333,-0.57375
Ã…land,1846,5.83125,0.712916667
Ã…land,1847,5.08,-0.038333333
Ã…land,1848,5.14375,0.025416667
Ã…land,1849,4.462083333,-0.65625
Ã…land,1850,4.648666667,-0.469666667
Ã…land,1851,5.306333333,0.188
Ã…land,1852,4.995666667,-0.122666667
Ã…land,1853,4.90775,-0.210583333
Ã…land,1854,5.626666667,0.508333333
Ã…land,1855,4.082166667,-1.036166667
Ã…land,1856,3.64275,-1.475583333
Ã…land,1857,5.583833333,0.4655
Ã…land,1858,5.981416667,0.863083333
Ã…land,1859,6.1625,1.044166667
Ã…land,1860,4.423666667,-0.694666667
Ã…land,1861,5.197166667,0.078833333
Ã…land,1862,3.883666667,-1.234666667
Ã…land,1863,6.47975,1.361416667
Ã…land,1864,4.231916667,-0.886416667
Ã…land,1865,4.793583333,-0.32475
Ã…land,1866,4.935833333,-0.1825
Ã…land,1867,2.807166667,-2.311166667
Ã…land,1868,5.7075,0.589166667
Ã…land,1869,5.197833333,0.0795
Ã…land,1870,4.503916667,-0.614416667
Ã…land,1871,3.231833333,-1.8865
Ã…land,1872,6.266916667,1.148583333
Ã…land,1873,5.852166667,0.733833333
Ã…land,1874,5.500916667,0.382583333
Ã…land,1875,3.516416667,-1.601916667
Ã…land,1876,4.099916667,-1.018416667
Ã…land,1877,3.951666667,-1.166666667
Ã…land,1878,5.756333333,0.638
Ã…land,1879,4.380416667,-0.737916667
Ã…land,1880,5.126916667,0.008583333
Ã…land,1881,3.35925,-1.759083333
Ã…land,1882,6.032,0.913666667
Ã…land,1883,5.380166667,0.261833333
Ã…land,1884,5.32875,0.210416667
Ã…land,1885,4.663,-0.455333333
Ã…land,1886,5.423166667,0.304833333
Ã…land,1887,5.552916667,0.434583333
Ã…land,1888,3.280083333,-1.83825
Ã…land,1889,5.255,0.136666667
Ã…land,1890,5.8395,0.721166667
Ã…land,1891,5.568,0.449666667
Ã…land,1892,4.244083333,-0.87425
Ã…land,1893,4.016916667,-1.101416667
Ã…land,1894,6.296666667,1.178333333
Ã…land,1895,4.7665,-0.351833333
Ã…land,1896,6.061333333,0.943
Ã…land,1897,5.640916667,0.522583333
Ã…land,1898,5.506166667,0.387833333
Ã…land,1899,4.56225,-0.556083333
Ã…land,1900,4.547833333,-0.5705
Ã…land,1901,5.729083333,0.61075
Ã…land,1902,3.439083333,-1.67925
Ã…land,1903,5.735416667,0.617083333
Ã…land,1904,4.583166667,-0.535166667
Ã…land,1905,5.4805,0.362166667
Ã…land,1906,5.940583333,0.82225
Ã…land,1907,4.769083333,-0.34925
Ã…land,1908,5.111083333,-0.00725
Ã…land,1909,4.688166667,-0.430166667
Ã…land,1910,6.246666667,1.128333333
Ã…land,1911,6.047333333,0.929
Ã…land,1912,5.07075,-0.047583333
Ã…land,1913,6.12525,1.006916667
Ã…land,1914,6.556166667,1.437833333
Ã…land,1915,3.575166667,-1.543166667
Ã…land,1916,5.013833333,-0.1045
Ã…land,1917,4.588083333,-0.53025
Ã…land,1918,5.406916667,0.288583333
Ã…land,1919,4.7555,-0.362833333
Ã…land,1920,6.3715,1.253166667
Ã…land,1921,5.936666667,0.818333333
Ã…land,1922,4.5275,-0.590833333
Ã…land,1923,4.569416667,-0.548916667
Ã…land,1924,5.41275,0.294416667
Ã…land,1925,5.806666667,0.688333333
Ã…land,1926,4.909916667,-0.208416667
Ã…land,1927,5.18725,0.068916667
Ã…land,1928,4.870666667,-0.247666667
Ã…land,1929,5.06475,-0.053583333
Ã…land,1930,7.01775,1.899416667
Ã…land,1931,4.601833333,-0.5165
Ã…land,1932,6.095833333,0.9775
Ã…land,1933,5.686583333,0.56825
Ã…land,1934,7.534333333,2.416
Ã…land,1935,6.134833333,1.0165
Ã…land,1936,6.277333333,1.159
Ã…land,1937,6.479166667,1.360833333
Ã…land,1938,7.29375,2.175416667
Ã…land,1939,6.264333333,1.146
Ã…land,1940,3.896416667,-1.221916667
Ã…land,1941,3.518416667,-1.599916667
Ã…land,1942,3.353666667,-1.764666667
Ã…land,1943,6.9125,1.794166667
Ã…land,1944,6.254083333,1.13575
Ã…land,1945,5.819083333,0.70075
Ã…land,1946,5.679083333,0.56075
Ã…land,1947,4.972333333,-0.146
Ã…land,1948,6.0455,0.927166667
Ã…land,1949,7.081083333,1.96275
Ã…land,1950,5.957916667,0.839583333
Ã…land,1951,5.820583333,0.70225
Ã…land,1952,4.795,-0.323333333
Ã…land,1953,6.746916667,1.628583333
Ã…land,1954,5.55175,0.433416667
Ã…land,1955,4.887416667,-0.230916667
Ã…land,1956,4.045583333,-1.07275
Ã…land,1957,5.594583333,0.47625
Ã…land,1958,4.637583333,-0.48075
Ã…land,1959,6.630916667,1.512583333
Ã…land,1960,5.54875,0.430416667
Ã…land,1961,6.833083333,1.71475
Ã…land,1962,4.7905,-0.327833333
Ã…land,1963,4.88775,-0.230583333
Ã…land,1964,5.586416667,0.468083333
Ã…land,1965,4.88025,-0.238083333
Ã…land,1966,4.298333333,-0.82
Ã…land,1967,5.878,0.759666667
Ã…land,1968,5.172833333,0.0545
Ã…land,1969,4.918416667,-0.199916667
Ã…land,1970,4.442833333,-0.6755
Ã…land,1971,5.62375,0.505416667
Ã…land,1972,6.358333333,1.24
Ã…land,1973,6.198083333,1.07975
Ã…land,1974,6.766916667,1.648583333
Ã…land,1975,7.237833333,2.1195
Ã…land,1976,4.832916667,-0.285416667
Ã…land,1977,5.15925,0.040916667
Ã…land,1978,4.578666667,-0.539666667
Ã…land,1979,4.805583333,-0.31275
Ã…land,1980,5.015666667,-0.102666667
